# Time, Xc, Yc
1.975178287140137400e+03 1.550223052136811930e+02 1.090798320064395057e+03
1.975198719413005165e+03 1.550313877494010626e+02 1.090807493245328487e+03
1.975219151685872930e+03 1.550359396971973922e+02 1.090808005437384736e+03
1.975239583957802097e+03 1.550383791907728153e+02 1.090802855389831166e+03
1.975260016329739301e+03 1.550366338302862061e+02 1.090807870043739740e+03
1.975280448500743660e+03 1.550469283364042496e+02 1.090810739673760281e+03
1.975300880771741504e+03 1.550447998347491989e+02 1.090810961898417418e+03
1.975321313141816063e+03 1.550404748286839549e+02 1.090814120454376052e+03
1.975341745411424199e+03 1.550381822908617835e+02 1.090814985205362973e+03
1.975362177581024298e+03 1.550423460448180037e+02 1.090820158930452635e+03
1.975382609949701873e+03 1.550444760192666536e+02 1.090821107251775402e+03
1.975403042217913026e+03 1.550277110715734636e+02 1.090812527581233553e+03
1.975423474386116141e+03 1.550419240082376859e+02 1.090822100690815887e+03
1.975443906753396732e+03 1.550387005263892775e+02 1.090823700664541775e+03
1.975464339020210900e+03 1.550363474730008022e+02 1.090836385992020951e+03
1.975484771386552893e+03 1.550261313753163677e+02 1.090815218341716218e+03
1.975505203552434978e+03 1.550399112372182060e+02 1.090820860833190864e+03
1.975525635817852162e+03 1.550349069306228387e+02 1.090823188302245171e+03
1.975546068183262832e+03 1.550304616007568939e+02 1.090818619368048530e+03
1.975566500347747933e+03 1.550336839645561611e+02 1.090822793441008798e+03
1.975586932611768134e+03 1.550267752343919483e+02 1.090815376911175463e+03
1.975607364875315398e+03 1.550339375390713883e+02 1.090816240037797797e+03
1.975627797138404276e+03 1.550297642166216576e+02 1.090821398193560071e+03
1.975648229401027493e+03 1.550340921153880913e+02 1.090819539792683372e+03
1.975668661663177772e+03 1.550321872185847383e+02 1.090828235806293378e+03
1.975689093924869667e+03 1.550269637380903021e+02 1.090818586601215657e+03
1.975709526286096661e+03 1.550356481918102816e+02 1.090831107870431651e+03
1.975729958446383534e+03 1.550337069497877849e+02 1.090832427807266413e+03
1.975750390706678445e+03 1.550341709534222616e+02 1.090827298934376586e+03
1.975770823066501180e+03 1.550396319729136110e+02 1.090827652068219777e+03
1.975791255225864006e+03 1.550406581221862723e+02 1.090827882094574306e+03
1.975811687484761933e+03 1.550460730072138062e+02 1.090839120672710578e+03
1.975832119843194960e+03 1.550481830115495541e+02 1.090832960075571009e+03
1.975852552000687865e+03 1.550344173422002143e+02 1.090833081740734542e+03
1.975872984258188808e+03 1.550425569517017266e+02 1.090826220075915217e+03
1.975893416615217575e+03 1.550470492860651746e+02 1.090834985453502441e+03
1.975913848871787195e+03 1.550434245619705393e+02 1.090836919186411706e+03
1.975934281127425493e+03 1.550516825821588043e+02 1.090827562882965594e+03
1.975954713383063790e+03 1.550569990275840269e+02 1.090843680788574602e+03
1.975975145638229151e+03 1.550588432963031664e+02 1.090837023010142730e+03
1.975995577892470465e+03 1.550606302436723354e+02 1.090841855443170743e+03
1.976016010146704502e+03 1.550473092031620581e+02 1.090821265877249289e+03
1.976036442400014494e+03 1.550586509290866672e+02 1.090833190133236030e+03
1.976056874753325246e+03 1.550637003744486151e+02 1.090840004196678365e+03
1.976077306906168815e+03 1.550685138095517459e+02 1.090833908753336345e+03
1.976097739158074546e+03 1.550714786463491350e+02 1.090834104779576819e+03
1.976118171509988315e+03 1.550840035851872187e+02 1.090840179276654226e+03
1.976138603660961962e+03 1.550786200318867714e+02 1.090835524958072710e+03
1.976159035911943647e+03 1.550871163892637696e+02 1.090841545984370441e+03
1.976179468261994771e+03 1.550862572824193251e+02 1.090834616712225625e+03
1.976199900412044371e+03 1.550945844039252393e+02 1.090839904805805190e+03
1.976220332761156897e+03 1.550956365987254060e+02 1.090843514901660001e+03
1.976240765010275936e+03 1.550863434319946919e+02 1.090830514151413126e+03
1.976261197158455616e+03 1.550911477677936716e+02 1.090841721535549596e+03
1.976281629506644094e+03 1.550980849417402965e+02 1.090840357936996043e+03
1.976302061753900489e+03 1.550944195931453464e+02 1.090837340830890980e+03
1.976322493900690461e+03 1.551009467255356924e+02 1.090846243871161505e+03
1.976342926547476964e+03 1.549108265717155462e+02 1.090843366424132228e+03
1.976363358793329098e+03 1.548699580915432250e+02 1.090840985375265973e+03
1.976383791038722848e+03 1.548710754541827725e+02 1.090844070926310906e+03
1.976404223284116597e+03 1.548665866716612243e+02 1.090849191465490776e+03
1.976424655528571748e+03 1.548663874770477378e+02 1.090836873540364422e+03
1.976445087873034936e+03 1.548729430710291695e+02 1.090845608225886053e+03
1.976465520016565279e+03 1.548705990037069284e+02 1.090844132632607625e+03
1.976485952259623446e+03 1.548652254682626221e+02 1.090844814954089543e+03
1.976506384602689650e+03 1.548764983689865744e+02 1.090849697956498176e+03
1.976526816844823770e+03 1.548765708068445690e+02 1.090845270711977037e+03
1.976547248986484192e+03 1.548856622400818424e+02 1.090845390142364067e+03
1.976567681327687751e+03 1.548853150748372798e+02 1.090842442720075496e+03
1.976588113568890549e+03 1.548930335984154567e+02 1.090845413378713374e+03
1.976608545709153987e+03 1.548911684524580608e+02 1.090844581387177413e+03
1.976628978048960562e+03 1.548985254266543734e+02 1.090837902408097534e+03
1.976649410288766376e+03 1.549044188308873231e+02 1.090846548489615770e+03
1.976669842427632830e+03 1.549059963717894561e+02 1.090851869863127604e+03
1.976690274766042421e+03 1.549145497786233534e+02 1.090844189422766476e+03
1.976710707003985590e+03 1.549116699625880926e+02 1.090851354518903690e+03
1.976731139141920721e+03 1.549157236891672085e+02 1.090839284973904341e+03
1.976751571478933329e+03 1.549117887929150754e+02 1.090839980057359071e+03
1.976772003715479514e+03 1.549139969350419506e+02 1.090841128077831627e+03
1.976792436051553523e+03 1.549165659643053914e+02 1.090854537931486902e+03
1.976812868187633285e+03 1.549197511563108378e+02 1.090843128032405048e+03
1.976833300422782486e+03 1.549259410743070191e+02 1.090845643203943155e+03
1.976853732757459511e+03 1.549195819651349382e+02 1.090843714091967286e+03
1.976874164891676628e+03 1.549295479371078841e+02 1.090848092199206121e+03
1.976915029459174548e+03 1.549280680482307559e+02 1.090850550834255273e+03
1.976935461691995442e+03 1.549246729028739082e+02 1.090844250196068742e+03
1.976955893824349914e+03 1.549224637227380583e+02 1.090836556279301476e+03
1.976976326156232972e+03 1.549320993310211350e+02 1.090844977330433494e+03
1.976996758388122544e+03 1.549405220685598863e+02 1.090850262214049053e+03
1.977017190519080032e+03 1.549427265363381991e+02 1.090849981317029915e+03
1.977037622849566105e+03 1.549449063418621506e+02 1.090847298436589654e+03
1.977058054979592271e+03 1.549489252132438537e+02 1.090853741259316621e+03
1.977098919538708287e+03 1.550168980590169099e+02 1.090846943519782599e+03
1.977119351667337469e+03 1.550159804521655644e+02 1.090845152262014835e+03
1.977139783995495236e+03 1.550169205496779057e+02 1.090842767986555145e+03
1.977160216223193856e+03 1.550240856533727936e+02 1.090846153343401056e+03
1.977180648350891715e+03 1.550287118081297990e+02 1.090848785556945586e+03
1.977201080677652499e+03 1.550278813730114393e+02 1.090846469192508494e+03
1.977221512903954135e+03 1.550295672560291962e+02 1.090849524160422561e+03
1.977241945029789349e+03 1.567736276733911609e+02 1.089139502235359714e+03
1.977262377355153149e+03 1.568784002358767680e+02 1.089044154451494251e+03
1.977282809580523463e+03 1.568810693565802694e+02 1.089040484817551260e+03
1.977303241704961692e+03 1.568834121664986583e+02 1.089041943846498498e+03
1.977323674028928508e+03 1.566295576050178795e+02 1.089030305671899214e+03
1.977344106252901838e+03 1.565655413349743981e+02 1.089036515486566714e+03
1.977364538475943846e+03 1.565621689553524050e+02 1.089022290124389428e+03
1.977384970698512916e+03 1.565643799069530075e+02 1.089023864123920930e+03
1.977405402920623601e+03 1.565632438619438176e+02 1.089021343231240508e+03
1.977425835142734286e+03 1.565648229535495375e+02 1.089018319163573778e+03
1.977446267463907134e+03 1.565587863845680943e+02 1.089018536859160804e+03
1.977466699584620073e+03 1.565572903678888110e+02 1.089028232093555062e+03
1.977487131905334536e+03 1.565705146619183665e+02 1.089020111019014394e+03
1.977507564125109639e+03 1.565847813441654921e+02 1.089027293402081341e+03
1.977527996244425594e+03 1.565763152036047359e+02 1.089026092895298234e+03
1.977548428563743073e+03 1.565760608792461710e+02 1.089030506084322496e+03
1.977568860782121192e+03 1.565852972988539022e+02 1.089028990648697118e+03
1.977589292900040164e+03 1.565888480421781992e+02 1.089031298918633411e+03
1.977609725217960658e+03 1.565957651808737978e+02 1.089032951565857957e+03
1.977630157434941793e+03 1.565821070201444627e+02 1.089019087463467031e+03
1.977650589551929443e+03 1.565922259907252396e+02 1.089026174974595961e+03
1.977671021867987292e+03 1.565947965413211875e+02 1.089036563514935779e+03
1.977691454083571443e+03 1.565911324278508232e+02 1.089027106498795547e+03
1.977711886199162109e+03 1.565922040702053266e+02 1.089032231430909405e+03
1.977732318513822975e+03 1.566023903749788815e+02 1.089036092672574796e+03
1.977752750728475803e+03 1.566003730669606000e+02 1.089032390514767258e+03
1.977773182842203823e+03 1.565935240328637406e+02 1.089028179612800386e+03
1.977793615155933367e+03 1.565965367432254709e+02 1.089030690554820239e+03
1.977814047368723550e+03 1.566011722971508959e+02 1.089028119915120215e+03
1.977834479581521009e+03 1.565862415042539908e+02 1.089026839057777352e+03
1.977854911793387146e+03 1.565978957547025914e+02 1.089028240617542224e+03
1.977875344005246006e+03 1.565927300571428020e+02 1.089025846102108972e+03
1.977895776216180820e+03 1.565921874109698422e+02 1.089027064850915394e+03
1.977916208427115635e+03 1.565875196733267103e+02 1.089026119508544298e+03
1.977936640637577511e+03 1.565927838608410241e+02 1.089030257662635677e+03
1.977957072947116103e+03 1.566089868903423508e+02 1.089045962422119828e+03
1.977977505056653172e+03 1.566035545794469215e+02 1.089031619881150618e+03
1.977997937265252403e+03 1.566009489271519897e+02 1.089027167944976100e+03
1.978018369573859673e+03 1.566136258930881127e+02 1.089034023346886215e+03
1.978038801681999757e+03 1.566239999357771637e+02 1.089048092921591888e+03
1.978059233889667667e+03 1.566209831072776240e+02 1.089040589265180188e+03
1.978079666196412290e+03 1.566055675660983866e+02 1.089020263139281724e+03
1.978100098303155391e+03 1.566182639161442580e+02 1.089034806511315537e+03
1.978120530509426317e+03 1.566223990013694447e+02 1.089039940699971794e+03
1.978140962814773957e+03 1.566238051153143829e+02 1.089033763603698389e+03
1.978161394920120074e+03 1.566369022674422524e+02 1.089044098386797486e+03
1.978181827124994015e+03 1.566385942334775905e+02 1.089037702173862954e+03
1.978202259429410333e+03 1.566501352757838106e+02 1.089045594879847386e+03
1.978222691533359466e+03 1.566454354329551961e+02 1.089032815964269048e+03
1.978243123836837185e+03 1.566518966545917522e+02 1.089038339494227557e+03
1.978263556039855757e+03 1.566559106773339920e+02 1.089033378931399739e+03
1.978283988242401392e+03 1.566660290266590891e+02 1.089045178939391008e+03
1.978304420444022981e+03 1.566686846141137721e+02 1.089034247126265427e+03
1.978324852645644569e+03 1.566841556465029726e+02 1.089039472627530586e+03
1.978345284846800496e+03 1.566759153268069156e+02 1.089032070471373572e+03
1.978365717047483486e+03 1.566881672461672110e+02 1.089041022512704785e+03
1.978386149248173751e+03 1.567001606793644726e+02 1.089048880221805121e+03
1.978406581447925419e+03 1.567009947578255549e+02 1.089043324643902906e+03
1.978427013647218700e+03 1.567007685639391923e+02 1.089047132340649114e+03
1.978447445846046321e+03 1.567002793305277066e+02 1.089039319564737752e+03
1.978467878044408280e+03 1.567111343286836700e+02 1.089044601435638242e+03
1.978488310242297302e+03 1.567155133712614656e+02 1.089041470115438869e+03
1.978508742439727939e+03 1.567207897964877930e+02 1.089042794320132543e+03
1.978529174537157814e+03 1.567265973715975349e+02 1.089044467038358562e+03
1.978549606833650614e+03 1.564745969760355422e+02 1.089032654712997555e+03
1.978570039029684267e+03 1.564499119562113094e+02 1.089043468848098200e+03
1.978590471125251497e+03 1.564486751664212250e+02 1.089042561788689454e+03
1.978610903420812974e+03 1.564399984024986452e+02 1.089030967178189258e+03
1.978631335615449643e+03 1.564396532988832860e+02 1.089029336691219214e+03
1.978651767910079798e+03 1.564436814255325316e+02 1.089026702512402608e+03
1.978672200003784383e+03 1.564529692228967406e+02 1.089037253293628055e+03
1.978692632197024068e+03 1.564480349520875393e+02 1.089034026463076543e+03
1.978713064490257239e+03 1.564502127854016464e+02 1.089044303811389454e+03
1.978733496582564840e+03 1.564570305370254459e+02 1.089039535921630659e+03
1.978753928774873202e+03 1.564535095104698712e+02 1.089037119612966080e+03
1.978774361066709389e+03 1.564547831315466055e+02 1.089039554925301672e+03
1.978794793257620768e+03 1.564641348557041454e+02 1.089036602556220487e+03
1.978815225348531385e+03 1.564669471976984596e+02 1.089037223358569008e+03
1.978835657638504927e+03 1.564725997426550634e+02 1.089044975511902976e+03
1.978856089828484983e+03 1.564794906374373795e+02 1.089042222817215134e+03
1.978876521917998616e+03 1.564818285024562101e+02 1.089038931777429980e+03
1.978917386395158246e+03 1.564786448323270918e+02 1.089035844296346795e+03
1.978937818483274896e+03 1.564709730474902472e+02 1.089037400132157472e+03
1.978958250770920131e+03 1.564793796685177654e+02 1.089032611523494097e+03
1.978978682958106219e+03 1.564818932041179380e+02 1.089045703861800803e+03
1.978999115044825885e+03 1.564859648710002489e+02 1.089037278152547287e+03
1.979019547331074136e+03 1.564865879483480740e+02 1.089037751973357672e+03
1.979060411602185923e+03 1.565026800954226474e+02 1.089044033338334884e+03
1.979080843887037190e+03 1.564937232560336327e+02 1.089043998022333426e+03
1.979101276071429311e+03 1.564992968899072991e+02 1.089046144882465796e+03
1.979121708355356532e+03 1.565000094602370098e+02 1.089044050278603663e+03
1.979142140439274954e+03 1.565013299177549015e+02 1.089052910832739826e+03
