# Time, Flux
0.000000000000000000e+00 4.441297107931936916e-06
1.767076317014470987e-02 -1.038606343253647616e-04
1.840856256143297287e-02 2.382124308626919014e-05
2.043232815776718780e-02 2.330110332264432259e-04
3.810251716754464724e-02 2.314045344029178552e-04
3.884013823966370182e-02 -4.386338322519024578e-05
4.039283488083356133e-02 1.332524025905055197e-04
4.086455585638759658e-02 2.266343159928627614e-04
5.853447152298940637e-02 1.473688906724033939e-05
5.927191398490094798e-02 1.241502911852485568e-04
6.082480239120968690e-02 2.950809599952695038e-04
6.129668355424655601e-02 -1.327466810058632930e-04
7.896632622691868164e-02 1.003918737267514935e-04
7.970358983851610901e-02 -3.066534680200040517e-05
8.125656965995631253e-02 1.007064710704827867e-04
8.172901031502988189e-02 8.276106404699310772e-05
9.939818103998732113e-02 -2.223467776200662075e-05
1.001353657874801684e-01 7.628376736486506572e-05
1.016885364718405071e-01 -4.180897967093437051e-06
1.198300362095778837e-01 6.103466289571456296e-05
1.221204032756872948e-01 2.801061950858549864e-04
1.402617917276529624e-01 -1.407442869643507123e-04
1.425522696211487528e-01 1.558873676274661279e-04
1.606937474728056259e-01 1.322951220168987004e-05
1.614303941777848195e-01 1.576056971321513288e-04
1.629841357337795671e-01 2.308014014568868732e-04
1.634579131859936751e-01 -1.218637167921645862e-04
1.818619705181276913e-01 8.588439232734962675e-07
1.834160013807490941e-01 1.973399511187984618e-07
2.022936469392675463e-01 2.240367428592547424e-05
2.038478667876120198e-01 2.823815898374524932e-05
2.219893164667610108e-01 -1.326915988168499342e-05
2.227254234412043843e-01 1.187139018318958769e-04
2.242797319689202595e-01 -3.926616399789219079e-05
2.247545855643693358e-01 1.852138689280556446e-05
2.424211733825814008e-01 -4.595428711077788184e-05
2.431571000587950948e-01 -8.106809241563175093e-05
2.451868086063768715e-01 -1.048009363689264198e-04
2.628531305319938838e-01 -2.918288901780387494e-05
2.635887767564213391e-01 -3.000822409486316093e-05
2.656190311754471622e-01 -2.078703084955081852e-05
2.832848880218534759e-01 -5.752624487248795793e-06
2.840204535486350323e-01 -1.396191636086642677e-05
2.860512532861321233e-01 -9.675782739685969390e-05
3.037167457525811187e-01 1.299412028723132494e-04
3.044521304572640474e-01 1.807476395818294833e-04
3.060071898929095369e-01 3.114588418902640578e-05
3.064834753968170844e-01 -5.563450253835445911e-05
3.241487037096248969e-01 4.163041787426634423e-05
3.248838074459285963e-01 -4.643921299467025497e-05
3.264390536699579570e-01 8.798663609761978889e-05
3.269157965696649626e-01 1.101304658496946395e-04
3.445804620216676994e-01 5.593520153240645920e-06
3.453154845437325093e-01 -1.587987685651183671e-05
3.468710169893824968e-01 -7.259411815700469149e-05
3.473479172826046124e-01 3.701718063160973495e-05
3.650123206837179168e-01 1.636581953412150569e-04
3.673027803000081803e-01 -1.250955991953263594e-05
3.677802379970671609e-01 4.984517486912841557e-05
3.854442794629449054e-01 1.650552819150695268e-05
3.877346431530099835e-01 -6.244285209193202988e-05
3.882124577721697278e-01 -3.673111784567330138e-05
4.058761386997957743e-01 1.530763653960374115e-04
4.081666057739425924e-01 2.348751122190327419e-05
4.086445770881255157e-01 -1.319915734380751519e-05
4.270421938735466938e-01 -5.694019290484765426e-05
4.285983679276910152e-01 8.573559000041070817e-06
4.290768964056042023e-01 -4.770503229671342458e-05
4.474739714159454707e-01 -3.980612725955091766e-05
4.490302300749249298e-01 -3.753715271518932715e-05
4.495091147837229073e-01 1.686036428551638210e-04
4.671717179382994800e-01 -1.161884405670834589e-04
4.679055491096164587e-01 4.500279977644437859e-05
4.694620917637735147e-01 -1.167391114604124006e-04
4.699412327026948333e-01 1.086595538142807823e-05
4.876035782301642030e-01 -1.351031093273338314e-04
4.883373268775699216e-01 -4.576077152755343567e-05
4.903735506231896579e-01 -4.602836063264971320e-05
5.080354387548595696e-01 -8.976598005553972613e-05
5.087690047393493842e-01 3.070387335531420272e-05
5.108057676043245010e-01 3.822080383560332175e-05
5.284672996215249441e-01 -5.070350468631713701e-05
5.292005827095067616e-01 7.517110110529221813e-05
