# Time, Flux
1.975198719413005165e+03 8.784838289080009188e-01
1.975219151685872930e+03 8.794889986524692116e-01
1.975239583957802097e+03 8.811525970046507616e-01
1.975260016329739301e+03 8.809900917900937989e-01
1.975280448500743660e+03 8.824077198326398808e-01
1.975300880771741504e+03 8.825804927935052557e-01
1.975321313141816063e+03 8.826822486114572763e-01
1.975341745411424199e+03 8.829101298951053112e-01
1.975362177581024298e+03 8.834048022106831821e-01
1.975382609949701873e+03 8.837630968026282119e-01
1.975403042217913026e+03 8.843702033853576561e-01
1.975423474386116141e+03 8.849815442104801422e-01
1.975443906753396732e+03 8.849885552220820850e-01
1.975464339020210900e+03 8.837661278247710417e-01
1.975484771386552893e+03 8.863531221913424352e-01
1.975505203552434978e+03 8.868868250296962907e-01
1.975525635817852162e+03 8.865397910060913711e-01
1.975546068183262832e+03 8.875981528659119268e-01
1.975566500347747933e+03 8.878119463442828430e-01
1.975586932611768134e+03 8.886054509562955062e-01
1.975607364875315398e+03 8.894964801023202972e-01
1.975627797138404276e+03 8.888830577444509773e-01
1.975648229401027493e+03 8.899455029655599647e-01
1.975668661663177772e+03 8.890646872695292524e-01
1.975689093924869667e+03 8.903084143104721404e-01
1.975709526286096661e+03 8.895749495884170965e-01
1.975729958446383534e+03 8.897033595019325780e-01
1.975750390706678445e+03 8.907035668765090897e-01
1.975770823066501180e+03 8.915071599873819475e-01
1.975791255225864006e+03 8.919501745805703541e-01
1.975811687484761933e+03 8.909673841410633566e-01
1.975832119843194960e+03 8.923804608646622727e-01
1.975852552000687865e+03 8.916893933849316944e-01
1.975872984258188808e+03 8.934166536437133654e-01
1.975893416615217575e+03 8.929562873754486318e-01
1.975913848871787195e+03 8.926033916122306788e-01
1.975934281127425493e+03 8.948795206097328592e-01
1.975954713383063790e+03 8.931456113147789866e-01
1.975975145638229151e+03 8.944871503817577452e-01
1.975995577892470465e+03 8.941743009348650517e-01
1.976016010146704502e+03 8.963225595014632230e-01
1.976036442400014494e+03 8.956684940898896885e-01
1.976056874753325246e+03 8.954421646018694281e-01
1.976077306906168815e+03 8.967951774198330561e-01
1.976097739158074546e+03 8.973054642764783928e-01
1.976118171509988315e+03 8.972071714148117660e-01
1.976138603660961962e+03 8.978937230770315248e-01
1.976159035911943647e+03 8.977761313561147816e-01
1.976179468261994771e+03 8.991058272135331597e-01
1.976199900412044371e+03 8.991479359196739019e-01
1.976220332761156897e+03 8.987819542225961023e-01
1.976240765010275936e+03 9.000707934956122536e-01
1.976261197158455616e+03 8.989101345949618294e-01
1.976281629506644094e+03 8.998076474518424961e-01
1.976302061753900489e+03 9.002601760819231025e-01
1.976363358793329098e+03 8.812602566766647438e-01
1.976383791038722848e+03 8.808823866971244865e-01
1.976404223284116597e+03 8.799168489115306580e-01
1.976424655528571748e+03 8.817018581734644700e-01
1.976445087873034936e+03 8.814656951356246717e-01
1.976465520016565279e+03 8.815493697587883926e-01
1.976485952259623446e+03 8.809086170377981029e-01
1.976506384602689650e+03 8.815438826985503296e-01
1.976526816844823770e+03 8.823510102906612085e-01
1.976547248986484192e+03 8.834319662043277344e-01
1.976567681327687751e+03 8.838729354623122703e-01
1.976588113568890549e+03 8.842546796231091077e-01
1.976608545709153987e+03 8.844438523332814883e-01
1.976628978048960562e+03 8.861744189243644376e-01
1.976649410288766376e+03 8.855364233075718738e-01
1.976669842427632830e+03 8.853062271214409140e-01
1.976690274766042421e+03 8.873496429853898748e-01
1.976710707003985590e+03 8.859847540668290833e-01
1.976731139141920721e+03 8.885519812684383734e-01
1.976751571478933329e+03 8.881161390095554387e-01
1.976772003715479514e+03 8.883614756881623720e-01
1.976792436051553523e+03 8.867141103677583791e-01
1.976812868187633285e+03 8.885850505083582318e-01
1.976833300422782486e+03 8.890161439280475086e-01
1.976853732757459511e+03 8.886422716886844819e-01
1.976874164891676628e+03 8.888916845934874411e-01
1.976915029459174548e+03 8.885059802822695696e-01
