# Frequencies, Powers
2.999999999999999889e-02 4.394512244921327192e-05
3.001000016666944409e-02 4.015763714091644425e-05
3.002000033333888929e-02 4.137811469395028977e-05
3.003000050000833102e-02 3.592774001370498057e-05
3.004000066667777621e-02 3.558937253561916852e-05
3.005000083334722141e-02 3.308908489408238598e-05
3.006000100001666661e-02 3.260884333412550497e-05
3.007000116668611181e-02 3.113308871668252757e-05
3.008000133335555354e-02 3.172750515858807906e-05
3.009000150002499874e-02 3.791915790835541209e-05
3.010000166669444394e-02 3.935950842688343303e-05
3.011000183336388913e-02 4.154194812028223007e-05
3.012000200003333433e-02 4.154194812028223007e-05
3.013000216670277606e-02 3.695177753562241371e-05
3.014000233337222126e-02 4.327847225892862665e-05
3.015000250004166646e-02 4.349925699366917524e-05
3.016000266671111166e-02 4.691836034230415252e-05
3.017000283338055686e-02 4.538887899681672580e-05
3.018000300004999858e-02 3.882009139304728898e-05
3.019000316671944378e-02 3.883806113818960695e-05
3.020000333338888898e-02 3.622540339282048956e-05
3.021000350005833418e-02 3.750553201780346314e-05
3.022000366672777938e-02 4.084844444541047329e-05
3.023000383339722111e-02 3.478836146172947108e-05
3.024000400006666631e-02 3.103967113778231042e-05
3.025000416673611150e-02 3.122440566562223306e-05
3.026000433340555670e-02 3.056555400437767470e-05
3.027000450007499843e-02 3.250810521615263190e-05
3.028000466674444363e-02 3.288351584110752373e-05
3.029000483341388883e-02 3.717270753867242208e-05
3.030000500008333403e-02 3.896768978283010588e-05
3.031000516675277923e-02 4.566452754735495054e-05
3.032000533342222096e-02 4.427058154504767397e-05
3.033000550009166615e-02 4.541115874343142755e-05
3.034000566676111135e-02 4.534091895900537074e-05
3.035000583343055655e-02 4.503064713239651891e-05
3.036000600010000175e-02 4.173526292623771345e-05
3.037000616676944348e-02 4.040721312024316805e-05
3.038000633343888868e-02 3.506564016075452864e-05
3.039000650010833388e-02 3.584172091967263013e-05
3.040000666677777907e-02 3.908871553531547652e-05
3.041000683344722427e-02 4.057303397463922945e-05
3.042000700011666600e-02 4.057303397463922945e-05
3.043000716678611120e-02 4.369372767156646587e-05
3.044000733345555640e-02 3.763364468788546366e-05
3.045000750012500160e-02 3.514115016004057157e-05
3.046000766679444680e-02 3.683859161648406243e-05
3.047000783346388852e-02 3.759014119713982029e-05
3.048000800013333372e-02 3.831962303864536434e-05
3.049000816680277892e-02 4.631903745848461889e-05
3.050000833347222412e-02 4.807985189061831456e-05
3.051000850014166932e-02 4.900763685935440348e-05
3.052000866681111105e-02 4.883210183686831368e-05
3.053000883348055625e-02 4.376586850991214661e-05
3.054000900015000144e-02 4.406019258114177010e-05
3.055000916681944664e-02 3.883571599712520606e-05
3.056000933348889184e-02 3.887132921013844656e-05
3.057000950015833357e-02 3.468707579093550041e-05
3.058000966682777877e-02 3.442534854589290226e-05
3.059000983349722397e-02 3.446034358513398223e-05
3.060001000016666917e-02 3.341186609615421596e-05
3.061001016683611436e-02 3.588974728590820391e-05
3.062001033350555609e-02 3.715814698565916412e-05
3.063001050017500129e-02 3.697799921627818211e-05
3.064001066684444649e-02 4.050799998152593268e-05
3.065001083351389169e-02 4.054232287236017422e-05
3.066001100018333689e-02 4.613287234784952642e-05
3.067001116685277862e-02 4.419592030470281265e-05
3.068001133352222382e-02 4.559889487476750800e-05
3.069001150019166901e-02 4.437863358157841798e-05
3.070001166686111421e-02 3.886763882416725656e-05
3.071001183353055941e-02 3.865733907929337664e-05
3.072001200020000114e-02 3.576003849580503051e-05
3.073001216686944634e-02 3.576003849580503051e-05
3.074001233353889154e-02 3.766306882235785538e-05
3.075001250020833674e-02 3.311810139762391648e-05
3.076001266687778193e-02 3.114677752558006276e-05
3.077001283354722366e-02 3.133116337533532996e-05
3.078001300021666886e-02 3.100734842933100419e-05
3.079001316688611406e-02 3.148618470107143670e-05
3.080001333355555926e-02 3.142609944159469558e-05
3.081001350022500446e-02 3.630693511220537577e-05
3.082001366689444619e-02 3.835433567759645630e-05
3.083001383356389138e-02 4.252408053005749775e-05
3.084001400023333658e-02 4.228754983324884667e-05
3.085001416690278178e-02 4.480342004009656110e-05
3.086001433357222351e-02 4.438544744638891668e-05
3.087001450024166871e-02 4.394011867479088340e-05
3.088001466691111391e-02 3.847698928036957349e-05
3.089001483358055911e-02 3.802916799419372215e-05
3.090001500025000430e-02 3.506967326760412207e-05
3.091001516691944603e-02 3.630193390016966433e-05
3.092001533358889123e-02 3.502919971807278809e-05
3.093001550025833643e-02 3.618639235897091756e-05
3.094001566692778163e-02 3.798930226777557268e-05
3.095001583359722683e-02 3.903660409323264126e-05
3.096001600026666856e-02 3.321339288927404763e-05
3.097001616693611376e-02 3.268075524844657866e-05
